Elements,Runs,Algorithm,Variant,Elapsed time(ms)
random: radix (5.506550000 ms) beats quick (17.829920000 ms)
partially sorted 10%: radix (5.844950000 ms) beats quick (7.444640000 ms)
partially sorted 30%: radix (7.808630000 ms) beats quick (9.067950000 ms)
partially sorted 50%: radix (7.456850000 ms) beats quick (6.473890000 ms)
partially sorted 70%: radix (6.963870000 ms) beats quick (5.994420000 ms)
partially sorted 90%: radix (7.730700000 ms) beats quick (8.198890000 ms)

For 1,000,000:

reversed: radix (75.4381 ms) beats quick (140.4770 ms)
random: radix (63.9799 ms) crushes quick (273.8763 ms)
partially sorted 10%: quick (74.1597 ms) slightly beats radix (76.1673 ms)
partially sorted 30%: quick (74.1614 ms) beats radix (129.3906 ms)
partially sorted 50%: radix (86.7130 ms) beats quick (116.2842 ms)
partially sorted 70%: quick (55.1503 ms) beats radix (76.4796 ms)
partially sorted 90%: quick (57.2906 ms) beats radix (73.9464 ms)
--------------------------------------------------------
